Application,Launcher,Path,Icon Name
2048,2048,/usr/share/2048/meta/apple-touch-icon.png,2048
2048-Qt,2048-qt,/usr/share/pixmaps/2048-qt.xpm,2048-qt
8BitMMO,8BitMMO,steam,steam_icon_250420
Aard Dictionary,aarddict,aarddict.png,aarddict
amSynth,amsynth,/usr/share/pixmaps/amsynth.png,amsynth
amSynth,amsynth,/usr/share/pixmaps/amsynth.xpm,amsynth
Android Studio,android-studio,/usr/share/icons/androidstudio.svg,android-studio
Anna - Extended Edition,Anna - Extended Edition,steam,steam_icon_217690
Aptik,aptik,/usr/share/pixmaps/aptik.png,aptik
APX,apx,/usr/share/apx/icons/apx.svg,apx
Ardour 2,ardour2,/usr/share/ardour2/icons/ardour_icon_22px.png,ardour
Ardour 3,ardour,/usr/share/ardour3/icons/ardour_icon_48px.png,ardour
Ardour 3,ardour,/opt/ardour3/share/icons/ardour_icon_48px.png,ardour
Ardour 3,ardour3,/usr/share/ardour3/icons/ardour_icon_48px.png,ardour
Ardour 3,ardour3,/opt/ardour3/share/icons/ardour_icon_48px.png,ardour
Ardour 4,ardour,/usr/share/ardour4/icons/ardour_icon_256px.png,ardour
Arista,arista,/usr/share/arista/ui/icon.svg,arista
Armagetron Advanced,armagetronad,/usr/share/pixmaps/armagetronad/icons/large/armagetronad.png,armagetronad
Arronax,arronax,/usr/share/arronax/icons/arronax.png,arronax
Ascii Design,ascii-design,ascii-design.png,ascii-design
AstroMenace,astromenace,/usr/share/pixmaps/astromenace.png,astromenace
Bastion,Bastion,steam,steam_icon_107100
Beat Hazard,Beat Hazard,steam,steam_icon_49600
Beat Hazard 2,Beat Hazard 2,steam,steam_icon_49610
Bibfilex,bibfilex-qt,/opt/bibfilex/icon.png,bibfilex
Bibfilex,bibfilex-gtk,/opt/bibfilex/icon.png,bibfilex
BioShock Infinite,BioShock Infinite,steam,steam_icon_8870
BitDefender,bitdefender,/opt/BitDefender-scanner/share/doc/examples/icons/hicolor/128x128/apps/bitdefender.png,bitdefender
Blam,blam,blam.png,blam
BlueJ,bluej,/usr/share/java/bluej/images/bluej-icon-48.png,bluej
Boot Repair,boot-repair,/usr/share/boot-sav/x-boot-repair.png,x-boot-repair
Bygfoot Football Manager,bygfoot,bygfoot.xpm,bygfoot
Calendar Indicator,calendar-indicator,/opt/extras.ubuntu.com/calendar-indicator/share/pixmaps/calendar-indicator.svg,office-calendar
Cities in Motion 2,Cities in Motion 2,steam,steam_icon_225420
ClipGrab,clipgrab,/usr/share/pixmaps/clipgrab.png,clipgrab
Codelite,codelite,/usr/share/codelite/images/cubes.png,codelite
Conky Manager,conky-manager,/usr/share/pixmaps/conky-manager.png,conky-manager
Copy,copy,/usr/share/icons/hicolor/scalable/apps/copyagent.svg,copy
Copy,CopyAgent,/usr/share/icons/hicolor/scalable/apps/copyagent.svg,copy-agent
Crashplan,crashplan,/usr/local/crashplan/skin/icon_app_128x128.png,crashplan
Crashplan,crashplan,/opt/crashplan/skin/icon_app_64x64.png,crashplan
Cura,cura,/usr/share/cura/resources/images/c.png,cura
Cyclograph,cyclograph-gtk3,cyclograph.png,cyclograph
Cyclograph,cyclograph-qt,cyclograph.png,cyclograph
Desura,desura,hardcoded,desura
diffpdf,diffpdf,/usr/share/pixmaps/diffpdf.png,diffpdf
Docear,docear,/usr/share/docear/docear.png,docear
Dogecoin QT,dogecoin,/usr/share/pixmaps/dogecoin.png,dogecoin
DOS Box,dosbox,/usr/share/pixmaps/dosbox.png,dosbox
Dota 2,Dota 2,steam,steam_icon_570
Double Action: Boogaloo,Double Action Boogaloo,steam,steam_icon_317360
dreamchess,dreamchess,/usr/share/dreamchess/icon.png,dreamchess
Dr. Geo,drgeo2,drgeo2.png,drgeo
Driver Manager,driver-manager,/usr/share/icons/hicolor/scalable/apps/driver-manager.svg,driver-manager
DupeGuru,dupeguru_se,/usr/share/dupeguru_se/dgse_logo_128.png,dupeguru
Dwarfs!?,Dwarfs!,steam,steam_icon_35480
Dwarfs?! - F2P,Dwarfs! - F2P,steam,steam_icon_213650
easyLife,easylife,/usr/share/pixmaps/easylife.png,easylife
eFax,efax-gtk,/usr/share/pixmaps/efax-gtk,efax-gtk
Electrum,electrum,/usr/share/app-install/icons/electrum.png,electrum
Emacs 23,emacs23,/usr/share/icons/hicolor/scalable/apps/emacs23.svg,emacs
Emacs 24,emacs24,/usr/share/icons/hicolor/scalable/apps/emacs24.svg,emacs
Encrytr,encryptr,/usr/share/pixmaps/Encryptr.png,Encryptr
Engauge Digitizer,engauge-digitizer,/usr/share/pixmpas/engauge-digitizer.xpm,engauge-digitizer
Enpass,enpass,enpass.png,enpass
Enpass,Enpass,/opt/Enpass/enpass.png,enpass
FadeIn,fadein,/usr/share/fadein/icon_app/fadein_icon_128x128.png,fadein
FCEUX,fceux,/usr/share/pixmaps/fceux.png,fceux
Fistful of Frags,Fistful of Frags,steam,steam_icon_265630
FileBot,FileBot,/usr/share/filebot/icon.svg,filebot
FlightGear Launcher,fgrun,/usr/share/pixmaps/flightgear.ico,flightgear
FMIT,fmit,/usr/share/icons/hicolor/scalable/apps/fmit.svg,fmit
Format Junkie,formatjunkie,/opt/extras.ubuntu.com/formatjunkie/pixmap/fjt.png,fjt
Fotoxx,fotoxx,/usr/share/fotoxx/icons/fotoxx.png,fotoxx
FreeCAD,freecad,/opt/freecad/data/freecad.xpm,freecad
FreeCAD,freecad,/usr/share/freecad/freecad.xpm,freecad
Free Chart Geany,freechartgeany,/usr/share/pixmaps/freechartgeany.png,freechartgeany
FreeCol,freecol,/usr/share/pixmaps/freecol.xpm,freecol
Freedroid RPG,freedroidrpg,/usr/share/icons/freedroidrpg.jpg,freedroid
Fritzing,fritzing,/usr/share/pixmaps/fritzing_icon.png,fritzing_icon
Gambas 3,gambas3,gambas3.png,gambas3
Gambit Chess,gambitchess,/usr/share/pixmaps/gambitchess.svg,gambitchess
GanttProject,ganttproject,/opt/ganttproject/plugins/net.sourceforge.ganttproject/data/resources/logos/icon64.png,ganttproject
Garry's Mod,Garry's Mod,steam,steam_icon_4000
gCAD3D,gCAD3D,/usr/share/gcad3d/icons/gCAD3D.xpm,gcad3d
Gcolor2,gcolor2,/usr/share/pixmaps/gcolor2/gcolor2.xpm,gcolor2
Gcolor2,gcolor2,/usr/share/pixmaps/gcolor2/icon.png,gcolor2
GDebi,gdebi,gnome-mime-application-x-deb,gdebi
Gdiskdump,gdiskdump,/usr/share/gdiskdump/data/media/gdiskdump.svg,gdiskdump
GdMap,gdmap,gdmap_icon.png,gdmap_icon
Gens GS,gens,/usr/share/gens/gensgs_48x48.png,gensgs
Gens GS,gens,/usr/share/gens/gensgs_32x32.png,gensgs
Gens GS,gens,/usr/share/gens/gens_small.png,gensgs
GeSpeaker,gespeaker,/usr/share/gespeaker/data/icons/gespeaker.svg,gespeaker
gFTP,gftp,gftp.png,gftp
git-cola,git-cola,/usr/share/git-cola/icons/git.svg,git-cola
Gitter,gitter,/opt/Gitter/linux64/logo.png,Gitter
Gmsh,gmsh,/usr/share/pixmaps/gmsh_32x32.xpm,gmsh
GNOME Schedule,gnome-schedule,/usr/share/pixmaps/gnome-schedule/gnome-schedule.svg,gnome-schedule
GNOME Split,gnome-split,/usr/share/pixmaps/gnome-split.png,gnome-split
GNOME Wave Cleaner,gwc,gwc.xpm,gwc
GNOME Weather,gnome-shell-extension-weather,org.gnome.Weather.Application,gnome-weather
GNOME Weather (Arch),org.gnome.Weather.Application,org.gnome.Weather.Application,gnome-weather
GNS3,gns3,/usr/share/pixmaps/gns3.xpm,gns3
GNUbik,gnubik,gnubik.png,gnubik
GNU Octave,www.octave.org-octave,/usr/share/octave/3.6.4/imagelib/octave-logo.svg,octave
GNU Octave,www.octave.org-octave,/usr/share/octave/3.8.1/imagelib/octave-logo.svg,octave
GNU Octave,www.octave.org-octave,/usr/share/octave/4.0.0/imagelib/octave-logo.svg,octave
Google Drive,grive-setup,/opt/thefanclub/grive-tools/GoogleDrive.png,google-drive
Google Drive Indicator,grive-indicator,/opt/thefanclub/grive-tools/GoogleDrive.png,google-drive
GoldenDict,goldendict,/usr/share/pixmaps/goldendict.png,goldendict
Gone Home,Gone Home,steam,steam_icon_232430
GPixPod,GPixPod,/usr/share/gpixpod/GPixPod_icon.png,GPixPod_icon
GPRename,gprename,/usr/share/pixmaps/gprename/gprename.png,gprename
GpsPrune,gpsprune,/usr/share/pixmaps/gpsprune.xpm,gpsprune
Grace GTK,gracegtk,/usr/share/pixmaps/gracegtk.png,grace
GRASS GIS,grass,/usr/share/icons/grass-64x64.png,grass
Greenfoot,greenfoot,/usr/share/java/greenfoot/images/greenfoot-icon-48.png,greenfoot
Grisbi,grisbi,/usr/share/pixmaps/grisbi/grisbi.svg,grisbi
Grisbi,grisbi,/usr/share/pixmaps/grisbi/grisbi.xpm,grisbi
Grive Setup,grive,/opt/thefanclub/grive-tools/grive.png,google-drive
Grsync,grsync,grsync.png,grsync
Gsopcast,gsopcast,gsopcast.png,gsopcast
GTick,gtick,/usr/share/icons/hicolor/64x64/apps/gtick.xpm,gtick
GTimeLog,gtimelog,/usr/share/pyshared/gtimelog/gtimelog.png,gtimelog
Guake,guake,/usr/share/pixmaps/guake/guake.png,guake
GUVC View,guvcview,/usr/share/pixmaps/guvcview/guvcview.png,guvcview
gv,gv,/usr/share/pixmaps/gv_icon.xpm,gv
Hardinfo,hardinfo,/usr/share/hardinfo/pixmaps/logo.png,hardinfo
Hipchat,atlassian-hipchat,hipchat.png,hipchat
Hotline Miami,Hotline Miami,steam,steam_icon_219150
HotShots,hotshots,/usr/share/pixmaps/hotshots.png,hotshots
HP Lip,hplip,/usr/share/hplip/data/images/128x128/hp_logo.png,hp_logo
HP Printer,hplj1020,/usr/share/pixmaps/hplj1020_icon.png,printer
HTTraQt,httraqt,httraqt.xpm,httraqt
IBus Typing Booster Setup,ibus-setup-typing-booster,/usr/share/ibus-typing-booster/icons/ibus-hunspell-table.svg,ibus-keyboard
IBus LibZhuyin Setup,ibus-setup-libzhuyin,/usr/share/ibus-libzhuyin/icons/ibus-zhuyin.svg,ibus-setup
IBus LibPinyin Setup,ibus-setup-libpinyin,/usr/share/ibus-libpinyin/icons/ibus-pinyin.svg,ibus-pinyin
IBus LibBopomofo Preferences,ibus-setup-libbopomofo,/usr/share/ibus-libpinyin/icons/ibus-bopomofo.svg,ibus-bopomofo
I-Nex,i-nex,/usr/share/pixmaps/i-nex-128.png,i-nex-128
I-Nex Library,i-nex-library,/usr/share/pixmaps/i-nex-128.png,i-nex-128
IDLE,idle,/usr/share/pixmaps/idle.xpm,python-idle
IDLE 3,idle3,/usr/share/pixmaps/idle3.xpm,python-idle
IDLE (Python 2.7),idle-python2.7,/usr/share/pixmaps/python2.7.xpm,python-idle
IDLE (Python 3.2),idle-python3.2,/usr/share/pixmaps/python3.2.xpm,python-idle
IDLE (Python 3.3),idle-python3.3,/usr/share/pixmaps/python3.3.xpm,python-idle
IDLE (Python 3.4),idle-python3.4,/usr/share/pixmaps/python3.4.xpm,python-idle
IDLE (Python 3.5),idle-python3.5,/usr/share/pixmaps/python3.5.xpm,python-idle
Image Magick,display.im6,display.im6,imagemagick
Intel Graphics Installer,intel-linux-graphics-installer,/usr/share/intel-linux-graphics-installer/images/logo.png,intel-installer
Intellij IDE,intellij-idea,hardcoded,idea
Intellij IDE,jetbrains-idea,hardcoded,idea
Intellij IDE,jetbrains-idea-ce,hardcoded,idea
Jitsi,jitsi,/usr/share/pixmaps/jitsi.svg,jitsi
Kana Kanji Conversion Preferences,ibus-setup-kkc,/usr/share/ibus-kkc/icons/ibus-kkc.svg,ibus-setup
Kerbal Space Program,Kerbal Space Program,steam,steam_icon_220200
Klavaro,klavaro,/usr/share/icons/hicolor/24x24/apps/klavaro.png,klavaro
Komodo Edit,komodo-edit,/opt/komodo-edit/share/icons/komodo48.png,komodo
LaTeXDraw,latexdraw,/usr/share/pixmaps/latexdraw32.xpm,latexdraw
Layout Editor,layout,/usr/share/icons/hicolor/48x48/apps/layout.png,layout
Layout Editor,layout,layout.png,layout
Left 4 Dead 2,Left 4 Dead 2,steam,steam_icon_550
Left 4 Dead 2 (beta),Left 4 Dead 2 Beta,steam,steam_icon_223530
Lightworks,lightworks,/usr/share/lightworks/Icons/App.png,lightworks
Lincity-NG,lincity-ng,lincity-ng.png,lincity-ng
Lingot,lingot,/usr/share/pixmaps/lingot/lingot-icon.svg,lingot-icon
Linphone,linphone,/usr/share/pixmaps/linphone/linphone.png,linphone
LinSSID,linssid,/usr/share/pixmaps/linssid48.png,linssid
Little Inferno,Little Inferno,steam,steam_icon_221260
Ltris,ltris,/usr/share/icons/ltris48.gif,ltris
Lucky Backup,luckybackup,/usr/share/pixmaps/luckybackup.png,luckybackup
Lucky Backup (KDE),luckybackup-kde-su,/usr/share/pixmaps/luckybackup.png,luckybackup
Lucky Backup (GNOME),luckybackup-gnome-su,/usr/share/pixmaps/luckybackup.png,luckybackup
LuxRender,luxrender,/usr/share/pixmaps/luxrender.svg,luxrender
MailNag,mailnag_config,/usr/share/mailnag/mailnag.svg,mailnag
MakeHuman,makehuman,/usr/share/makehuman/icons/makehuman.svg,makehuman
Mandelbulber,mandelbulber,/usr/share/mandelbulber/icons/mandelbulber.png,mandelbulber
Master PDF Editor,MasterPdfEditor,/opt/master-pdf-editor/master-pdf-editor.png,master-pdf-editor
Master PDF Editor 3,masterpdfeditor3,masterpdfeditor3.png,master-pdf-editor
Matlab,matlab,/usr/share/icons/hicolor/48x48/apps/matlab.png,matlab
MediaElch,MediaElch,/usr/share/pixmaps/MediaElch.png,mediaelch
Mint Audio Tag,audio-tag-tool,/usr/lib/linuxmint/mintInstall/icon.svg,audio-tag-tool
Mint Backup,mintbackup,/usr/lib/linuxmint/mintBackup/icon.png,mintbackup
Mint Backup,mintbackup,/usr/lib/linuxmint/mintBackup/icon.svg,mintbackup
Mint Backup,mintBackup,/usr/lib/linuxmint/mintBackup/icon.png,mintbackup
Mint Backup,mintBackup,/usr/lib/linuxmint/mintBackup/icon.svg,mintbackup
Mint Backup,mintBackup_mime,/usr/lib/linuxmint/mintBackup/icon.png,mintbackup
Mint Drivers,mintdrivers,/usr/share/icons/hicolor/scalable/apps/driver-manager.svg,driver-manager
Mint Nanny,mintNanny,/usr/lib/linuxmint/mintNanny/icon.svg,mintNanny
Mint Software Manager,software-manager,/usr/lib/linuxmint/mintInstall/icon.svg,software-manager
Mint Software Manager,mintInstall,/usr/lib/linuxmint/mintInstall/icon.svg,software-manager
Mint Software Sources,software-sources,/usr/share/icons/hicolor/scalable/apps/software-sources.svg,software-sources
Mint Software Sources,mintsources,/usr/share/icons/hicolor/scalable/apps/software-sources.svg,software-sources
Mint Update Manager,mintUpdate,/usr/lib/linuxmint/mintUpdate/icons/base.svg,mintUpdate
Mint Upload Manager,mintupload,/usr/lib/linuxmint/mintUpload/icon.svg,mintUpload
MKV Extractor GUI,mkv-extractor-gui,/usr/share/icons/hicolor/256x256/apps/mkv-extractor-gui.png,mkv-extractor-gui
MultiBootUSB,multibootusb,/usr/share/pixmaps/multibootusb.png,multibootusb
MultiBootUSB,multibootusb,multibootusb.png,multibootusb
Mundus,mundus,/usr/share/pixmaps/mundus.svg,mundus
MyNotex,MyNotex,mynotex.png,mynotex
MyNotex,MyNotex,/opt/mynotex/icon.png,mynotex
MyTourbook,mytourbook,mytourbook.xpm,mytourbook
My Weather Indicator,my-weather-indicator,/opt/extras.ubuntu.com/my-weather-indicator/share/pixmaps/my-weather-indicator.png,indicator-weather
My Weather Indicator (extras),extras-my-weather-indicator,/opt/extras.ubuntu.com/my-weather-indicator/share/pixmaps/my-weather-indicator.png,indicator-weather
Natural Selection 2,Natural Selection 2,steam,steam_icon_4920
Netbeans IDE,netbeans,/usr/share/netbeans/7.0.1/nb/netbeans.png,netbeans
Netbeans IDE,netbeans,/usr/share/netbeans/8.0/nb/netbeans.png,netbeans
Netbeans IDE,netbeans-8.0.1,/usr/share/netbeans/8.0.1/nb/netbeans.png,netbeans
Netflix,netflix,/var/lib/wine-browser-installer/NetflixIcon.png,netflix-desktop
Ninja IDE,ninja-ide,/usr/share/ninja-ide/img/icon.png,ninja-ide
Nitro Tasks,nitrotasks,/usr/share/nitrotasks/media/nitrotasks.png,nitrotasks
NotifyOSD,notifyosdconf,/usr/share/notifyosdconf/not.png,notifyconf
Nsight Eclipse Edition,nsight,/opt/cuda/libnsight/icon.xpm,nsight
Nvidia Settings,nvidia-settings,/usr/share/pixmaps/nvidia-settings.png,nvidia-settings
NVIDIA Visual Profiler,nvvp,/opt/cuda/libnvvp/icon.xpm,nvvp
OCRFeeder,ocrfeeder,/usr/share/ocrfeeder/icons/ocrfeeder.svg,ocrfeeder
openSCAD,openscad,/usr/share/pixmaps/openscad.png,openscad
Opensong,opensong,/opt/OpenSong/opensong.xpm,opensong
OmegaT,omegat,/usr/share/omegat/images/OmegaT.xpm,omegat
oStorybook,oStorybook,/usr/share/oStorybook/oStorybook-icon.png,ostorybook
PacmanXG,pacmanxg,/usr/share/pixmaps/pacmanxg.png,pacmanxg
Pamac (Install),pamac-install,/usr/share/pamac/icons/32x32/apps/pamac.png,system-software-install
Pamac (Update),pamac-update,/usr/share/pamac/icons/32x32/apps/pamac.png,system-software-update
Parano,parano,parano-icon.png,parano
Pasaffe,pasaffe,/usr/share/pasaffe/media/pasaffe.svg,pasaffe
PDFsam,pdfsam,/usr/share/pdfsam/pdf.png,pdfsam
Pencil,pencil,/usr/share/pencil/skin/classic/icon.svg,pencil
Penumbra: Black Plague,Penumbra: Black Plague,steam,steam_icon_22120
Penumbra: Overture,Penumbra: Overture,steam,steam_icon_22180
Penumbra: Requiem,Penumbra: Requiem,steam,steam_icon_22140
pgAdmin3,pgadmin3,/usr/share/pgadmin3/pgAdmin3.png,pgAdmin3
pgModeler,pgmodeler,/etc/pgmodeler/pgmodeler_logo.png,pgmodeler
Photoshop CS6,Photoshop CS6,hardcoded,AdobePhotoshop
PHP Storm,phpstorm,hardcoded,phpstorm
PHP Storm,jetbrains-phpstorm,hardcoded,phpstorm
PHP Storm,jetbrains-phpstorm-ce,hardcoded,phpstorm
PlayOnLinux,playonlinux,/usr/share/playonlinux/etc/playonlinux.png,playonlinux
Pomidor,pomidor,/usr/share/pomidor/media/pomidor.svg,pomidor
Prison Architect,Prison Architect,steam,steam_icon_233450
ProjectLibre,projectlibre,/usr/share/pixmaps/projectlibre.png,projectlibre
Pumpa,pumpa,/usr/share/icons/hicolor/32x32/apps/pumpa.png,pumpa
Pushbullet indicator,extras-pushbullet-indicator,/opt/extras.ubuntu.com/pushbullet-indicator/share/pushbullet-indicator/icons/pushbullet-indicator.svg,pushbullet-indicator
Pycharm,pycharm,hardcoded,pycharm
Pycharm,jetbrains-pycharm,hardcoded,pycharm
Pycharm,jetbrains-pycharm-ce,hardcoded,pycharm
Pypar 2,pypar2,pypar2.png,pypar2
pyRenamer,pyrenamer,/usr/share/pyrenamer/pyrenamer.png,pyrenamer
Python (v2.6),python2.6,/usr/share/pixmaps/python2.6.xpm,python
Python (v2.7),python2.7,/usr/share/pixmaps/python2.7.xpm,python
Python (v3.0),python3.0,/usr/share/pixmaps/python3.0.xpm,python
Python (v3.1),python3.1,/usr/share/pixmaps/python3.1.xpm,python
Python (v3.2),python3.2,/usr/share/pixmaps/python3.2.xpm,python
Python (v3.3),python3.3,/usr/share/pixmaps/python3.3.xpm,python
Python (v3.4),python3.4,/usr/share/pixmaps/python3.4.xpm,python
Python (v3.5),python3.5,/usr/share/pixmaps/python3.5.xpm,python
QCAD,QCad,/usr/share/pixmaps/qcad_icon.png,qcad_icon
